no,label
0,0
1,0
2,0
3,0
4,0
5,1
6,0
7,1
8,1
9,1
10,1
11,0
12,0
13,0
14,0
15,0
16,1
17,1
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,1
41,1
42,1
43,0
44,0
45,0
46,0
47,0
48,1
49,0
50,0
51,2
52,1
53,0
54,0
55,0
56,1
57,0
58,0
59,1
60,0
61,0
62,0
63,1
64,2
65,1
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,1
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,1
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,1
94,0
95,0
96,0
97,0
98,1
99,1
100,0
101,0
102,0
103,1
104,1
105,0
106,1
107,1
