no,done,label
0,,2
1,,1
2,,1
3,,1
4,,1
5,,0
6,,0
7,,1
8,,1
9,,1
10,,1
11,,1
12,,0
13,,1
14,,2
15,,0
16,,2
17,,2
18,,0
19,,0
20,,0
21,,0
22,,1
23,,2
24,,1
25,,0
26,,
27,,0
28,,0
29,,2
30,,1
31,,0
32,,0
33,,2
34,,0
35,,2
36,,2
37,,2
38,,2
39,,0
40,,1
41,,2
42,,2
43,,2
44,,2
45,,2
46,,2
47,,2
48,,2
49,,2
50,,2
51,,1
52,,2
53,,2
54,,2
55,,2
56,,2
57,,2
58,,2
59,,2
60,,2
61,,2
62,,2
63,,2
64,,0
65,,2
66,,2
67,,2
68,,2
69,,2
70,,2
71,,2
72,,2
73,,1
74,,2
75,,2
76,,2
77,,2
78,,2
79,,2
80,,2
81,,2
82,,2
83,,2
84,,2
85,,2
86,,2
87,,2
88,,2
89,,2
90,,2
91,,2
92,,2
93,,2
94,,2
95,,2
96,,1
97,,2
98,,2
99,,
100,,2
101,,2
102,,2
103,,2
104,,2
105,,2
106,,2
107,,2
108,,2
109,,2
110,,2
111,,2
112,,2
113,,2
114,,2
115,,2
116,,2
117,,2
118,,2
119,,2
120,,2
121,,2
122,,2
123,,2
124,,2
125,,2
126,,2
127,,2
128,,2
129,,2
130,,2
131,,2
132,,2
133,,2
134,,1
135,,0
136,,2
137,,2
138,,2
139,,2
140,,2
141,,2
142,,2
143,,2
144,,2
145,,2
146,,2
147,,2
148,,2
149,,2
150,,2
151,,2
152,,2
153,,2
154,,2
155,,2
156,,2
157,,2
158,,2
159,,2
160,,2
161,,2
162,,2
163,,2
164,,0
165,,0
166,,0
167,,0
168,,2
169,,2
170,,2
171,,2
172,,2
173,,2
174,,2
175,,2
176,,2
177,,2
178,,2
179,,2
180,,2
181,,2
182,,1
183,,2
184,,1
185,,1
186,,1
187,,2
188,,2
189,,2
190,,2
191,,2
192,,2
193,,2
194,,2
195,,2
196,,2
197,,2
198,,2
199,,2
200,,2
201,,2
202,,2
203,,2
204,,2
205,,2
206,,2
207,,2
208,,2
209,,1
210,,2
211,,2
212,,2
213,,2
214,,2
215,,2
216,,2
217,,2
218,,2
219,,2
220,,2
221,,2
222,,2
223,,2
224,,2
225,,2
226,,1
227,,2
